Symbol,TRDATE,Open,High,Low,Close,Volume
TCS,07-Aug-07,278.27,279.45,273.52,277.33,2985212
AXISBANK,08-Aug-07,123.15,126.2,122.78,125.17,3652645
HDFCBANK,08-Aug-07,114.5,119.24,114.5,117.18,4867520
HINDUNILVR,08-Aug-07,210.0,210.0,200.2,203.25,1674651
ICICIBANK,08-Aug-07,160.0,162.55,158.73,160.73,24706594
INFY,08-Aug-07,236.25,249.75,236.25,245.91,24515808
KOTAKBANK,08-Aug-07,196.52,202.25,196.52,198.4,2470980
LT,08-Aug-07,549.78,557.1,548.5,553.89,4182345
RELIANCE,08-Aug-07,451.47,466.8,450.43,464.46,13163505
SBIN,08-Aug-07,160.4,163.68,160.21,161.04,11731187
TCS,08-Aug-07,287.5,292.25,279.5,288.15,4055164
AXISBANK,09-Aug-07,125.0,126.77,120.82,121.41,2124080
HDFCBANK,09-Aug-07,118.79,119.25,113.9,115.57,4981730
HINDUNILVR,09-Aug-07,204.7,205.4,200.2,201.0,1188491
ICICIBANK,09-Aug-07,161.82,167.27,160.73,161.76,18507296
INFY,09-Aug-07,248.75,250.63,240.63,241.78,10244784
KOTAKBANK,09-Aug-07,200.0,203.75,189.5,191.57,2855844
LT,09-Aug-07,558.22,562.89,541.17,544.49,3249706
RELIANCE,09-Aug-07,467.32,473.64,454.57,457.12,14804356
SBIN,09-Aug-07,162.95,163.04,154.83,155.74,15206489
TCS,09-Aug-07,290.0,297.21,283.8,286.42,5074436
AXISBANK,10-Aug-07,116.14,120.57,115.04,117.87,2734335
HDFCBANK,10-Aug-07,110.13,113.5,109.1,113.05,5591670
HINDUNILVR,10-Aug-07,194.0,198.95,192.8,196.1,2587792
ICICIBANK,10-Aug-07,158.18,158.18,152.75,157.11,16018172
INFY,10-Aug-07,231.89,245.88,231.89,244.99,14852240
KOTAKBANK,10-Aug-07,188.27,189.98,182.25,183.84,4380956
LT,10-Aug-07,533.33,542.22,522.47,539.71,4473342
RELIANCE,10-Aug-07,450.73,450.73,439.88,448.02,13582612
SBIN,10-Aug-07,151.11,152.37,148.62,151.62,21324107
TCS,10-Aug-07,278.75,288.38,270.1,286.13,6290560
AXISBANK,13-Aug-07,118.0,121.56,115.26,120.05,3878110
HDFCBANK,13-Aug-07,114.0,114.89,112.22,113.57,3495030
HINDUNILVR,13-Aug-07,196.6,204.5,196.6,204.05,1276525
ICICIBANK,13-Aug-07,160.0,160.0,157.27,158.88,12814901
INFY,13-Aug-07,246.25,246.25,240.15,243.74,6277472
KOTAKBANK,13-Aug-07,182.0,187.45,178.5,180.19,3675728
LT,13-Aug-07,544.44,548.0,539.58,541.34,2749815
RELIANCE,13-Aug-07,451.22,454.89,447.64,453.01,6359657
SBIN,13-Aug-07,152.85,153.78,150.5,152.19,15880518
TCS,13-Aug-07,287.5,287.5,281.29,283.63,1205524
AXISBANK,14-Aug-07,121.2,121.2,118.66,119.5,1106515
HDFCBANK,14-Aug-07,113.51,115.2,112.63,114.76,1869640
HINDUNILVR,14-Aug-07,204.7,204.7,200.1,200.6,731298
ICICIBANK,14-Aug-07,161.6,161.6,158.95,159.75,5403227
INFY,14-Aug-07,243.75,245.13,241.83,244.43,4490672
KOTAKBANK,14-Aug-07,181.25,185.13,177.02,177.89,4823816
LT,14-Aug-07,546.32,546.67,536.69,537.98,2221092
RELIANCE,14-Aug-07,445.77,455.68,445.77,453.96,4116441
SBIN,14-Aug-07,154.36,154.36,151.34,152.41,13394023
TCS,14-Aug-07,283.75,285.0,280.0,282.56,1222796
AXISBANK,16-Aug-07,114.0,118.0,110.21,111.57,4299275
HDFCBANK,16-Aug-07,110.13,111.38,108.13,109.4,6630700
HINDUNILVR,16-Aug-07,195.0,198.2,191.5,196.35,5135861
ICICIBANK,16-Aug-07,153.11,153.11,148.46,151.3,20469410
INFY,16-Aug-07,233.75,240.88,232.77,239.14,14135888
KOTAKBANK,16-Aug-07,157.25,175.0,157.25,166.55,5055088
LT,16-Aug-07,522.22,527.78,511.33,515.67,6135858
RELIANCE,16-Aug-07,443.79,443.79,427.2,430.68,16171445
SBIN,16-Aug-07,146.25,146.99,143.16,143.5,20439930
TCS,16-Aug-07,275.0,279.9,271.25,272.0,6663120
AXISBANK,17-Aug-07,109.21,116.0,106.8,115.03,6690770
HDFCBANK,17-Aug-07,108.97,109.78,105.12,106.81,8906500
HINDUNILVR,17-Aug-07,194.0,195.75,190.1,192.5,1912253
ICICIBANK,17-Aug-07,150.55,156.67,146.36,149.95,31415428
INFY,17-Aug-07,239.87,239.87,217.89,231.82,27524232
KOTAKBANK,17-Aug-07,166.55,169.75,153.09,158.74,7776608
LT,17-Aug-07,515.67,521.92,498.0,512.9,7942950
RELIANCE,17-Aug-07,423.73,439.31,416.85,434.11,24059732
SBIN,17-Aug-07,142.47,145.65,137.85,143.34,32144356
TCS,17-Aug-07,272.0,273.25,259.8,264.04,6901104
AXISBANK,20-Aug-07,117.0,121.75,115.4,120.93,4316185
HDFCBANK,20-Aug-07,110.11,113.9,110.11,111.09,8108420
HINDUNILVR,20-Aug-07,196.7,200.5,195.75,198.3,1597993
ICICIBANK,20-Aug-07,158.15,161.6,155.65,158.61,15571094
INFY,20-Aug-07,239.38,239.38,227.56,228.65,13752864
KOTAKBANK,20-Aug-07,162.5,172.95,161.25,171.56,5414088
LT,20-Aug-07,529.78,536.44,519.38,522.17,3997921
RELIANCE,20-Aug-07,445.77,456.92,441.07,445.28,9521014
SBIN,20-Aug-07,148.6,150.02,145.31,146.21,13428415
TCS,20-Aug-07,270.88,274.85,262.77,263.89,4386844
AXISBANK,21-Aug-07,122.78,122.78,117.4,118.18,2166615
HDFCBANK,21-Aug-07,112.8,112.8,109.9,110.39,2236130
HINDUNILVR,21-Aug-07,199.0,199.0,192.0,193.25,1303292
ICICIBANK,21-Aug-07,158.18,158.55,149.51,150.74,13393759
INFY,21-Aug-07,228.88,231.26,219.03,220.17,20084032
KOTAKBANK,21-Aug-07,172.5,173.75,158.31,159.82,4574040
LT,21-Aug-07,527.73,527.73,511.11,512.57,4393120
RELIANCE,21-Aug-07,445.77,448.92,429.75,432.61,15499124
SBIN,21-Aug-07,147.66,147.66,136.93,138.07,21256848
TCS,21-Aug-07,269.13,269.13,251.13,253.81,4363364
AXISBANK,22-Aug-07,118.4,119.94,112.43,116.51,2757495
HDFCBANK,22-Aug-07,110.4,112.19,109.81,111.74,5452410
HINDUNILVR,22-Aug-07,193.0,198.2,192.0,196.15,1159172
ICICIBANK,22-Aug-07,152.73,155.08,147.46,153.84,16662409
INFY,22-Aug-07,220.63,226.05,218.75,223.59,9464336
KOTAKBANK,22-Aug-07,158.75,164.75,155.07,162.04,4256896
LT,22-Aug-07,521.11,533.11,507.58,529.54,4127256
RELIANCE,22-Aug-07,432.65,444.24,424.8,437.4,17379715
SBIN,22-Aug-07,138.89,141.91,133.98,137.64,34262094
TCS,22-Aug-07,255.0,258.17,249.0,256.48,3826620
AXISBANK,23-Aug-07,122.33,122.33,113.2,116.5,3144440
HDFCBANK,23-Aug-07,112.25,114.5,107.5,110.01,8749280
HINDUNILVR,23-Aug-07,196.0,199.8,196.0,197.9,2008677
ICICIBANK,23-Aug-07,156.0,158.0,149.47,149.99,13447049
INFY,23-Aug-07,231.13,231.24,224.02,226.44,13791248
KOTAKBANK,23-Aug-07,164.63,166.75,155.01,156.39,3831632
LT,23-Aug-07,533.33,548.44,524.44,532.56,5978623
RELIANCE,23-Aug-07,445.53,447.76,429.68,431.91,12346513
SBIN,23-Aug-07,139.64,141.52,132.75,133.48,22401222
TCS,23-Aug-07,258.0,262.0,251.0,251.98,3113748
AXISBANK,24-Aug-07,119.4,119.4,113.02,114.19,3714510
HDFCBANK,24-Aug-07,109.87,112.2,108.0,109.77,8395490
HINDUNILVR,24-Aug-07,198.0,200.75,196.6,199.4,719903
ICICIBANK,24-Aug-07,151.92,152.55,149.49,151.6,11255838
INFY,24-Aug-07,222.64,229.19,222.64,228.2,7405424
KOTAKBANK,24-Aug-07,158.75,163.13,156.81,162.19,3559336
LT,24-Aug-07,535.56,546.06,525.2,543.32,3038980
RELIANCE,24-Aug-07,434.77,441.32,431.44,439.92,6860512
SBIN,24-Aug-07,137.28,138.97,134.45,138.32,25364484
TCS,24-Aug-07,253.75,256.63,249.88,254.6,1926972
AXISBANK,27-Aug-07,116.4,117.0,115.03,115.49,2894520
HDFCBANK,27-Aug-07,110.15,112.69,110.15,111.96,5504680
HINDUNILVR,27-Aug-07,201.0,202.8,199.6,200.75,1002366
ICICIBANK,27-Aug-07,156.35,161.44,154.93,160.65,34622373
INFY,27-Aug-07,229.88,231.38,227.04,230.96,5364912
KOTAKBANK,27-Aug-07,165.0,171.71,163.07,170.44,4143384
LT,27-Aug-07,548.89,564.36,544.44,563.04,3044475
RELIANCE,27-Aug-07,450.23,455.78,443.79,454.15,8287035
SBIN,27-Aug-07,143.32,147.47,140.21,146.69,24146557
TCS,27-Aug-07,256.24,259.7,255.01,256.63,2666856
AXISBANK,28-Aug-07,116.76,121.46,115.6,119.98,6885300
HDFCBANK,28-Aug-07,112.44,115.84,111.88,115.06,5140400
HINDUNILVR,28-Aug-07,200.0,203.0,200.0,202.1,1103658
ICICIBANK,28-Aug-07,160.65,160.65,156.0,156.89,24395607
INFY,28-Aug-07,228.75,236.75,228.25,235.03,10137472
KOTAKBANK,28-Aug-07,171.5,177.25,168.0,175.0,4719536
LT,28-Aug-07,562.22,571.11,556.98,567.36,3314016
RELIANCE,28-Aug-07,454.15,468.06,452.46,466.21,13009785
SBIN,28-Aug-07,148.6,148.6,145.4,146.3,15639484
TCS,28-Aug-07,259.0,259.75,252.75,257.19,2263504
AXISBANK,29-Aug-07,118.98,124.8,116.4,122.5,12916125
HDFCBANK,29-Aug-07,112.1,118.0,112.05,116.25,6884250
HINDUNILVR,29-Aug-07,198.45,203.5,198.0,201.95,1390972
ICICIBANK,29-Aug-07,155.45,156.89,152.95,155.84,24976088
INFY,29-Aug-07,230.13,233.75,227.56,229.66,11615696
KOTAKBANK,29-Aug-07,174.52,176.0,168.64,174.84,4897660
LT,29-Aug-07,560.89,577.56,551.2,575.93,3239635
RELIANCE,29-Aug-07,459.15,471.48,456.92,467.99,10737610
SBIN,29-Aug-07,141.91,149.55,141.91,148.5,21406819
TCS,29-Aug-07,255.0,259.95,250.25,257.9,3196688
AXISBANK,30-Aug-07,125.0,126.38,122.5,125.93,21029125
HDFCBANK,30-Aug-07,115.15,119.7,115.15,118.06,9014460
HINDUNILVR,30-Aug-07,201.2,205.5,200.3,203.2,3272581
ICICIBANK,30-Aug-07,158.18,159.56,156.36,158.74,20523464
INFY,30-Aug-07,231.25,233.8,230.13,233.15,8973008
KOTAKBANK,30-Aug-07,176.25,178.73,170.63,172.36,3888660
LT,30-Aug-07,577.81,584.22,569.14,575.26,4873819
RELIANCE,30-Aug-07,470.54,476.73,465.83,473.52,17039734
SBIN,30-Aug-07,149.45,151.41,147.09,148.21,21752163
TCS,30-Aug-07,260.5,264.75,256.25,261.5,7003172
AXISBANK,31-Aug-07,128.6,128.6,126.4,127.0,3498115
HDFCBANK,31-Aug-07,117.3,119.5,115.8,117.17,6542910
HINDUNILVR,31-Aug-07,203.8,210.4,203.7,208.3,1950710
ICICIBANK,31-Aug-07,158.74,162.65,158.0,161.53,13023824
INFY,31-Aug-07,235.63,235.63,231.0,231.82,7885336
KOTAKBANK,31-Aug-07,174.41,178.75,171.75,176.71,4142188
LT,31-Aug-07,576.89,579.98,572.44,573.96,2367004
RELIANCE,31-Aug-07,470.54,487.88,470.25,485.62,14662157
SBIN,31-Aug-07,148.13,152.66,148.13,151.0,17541785
TCS,31-Aug-07,263.0,267.42,261.75,266.09,2377496
AXISBANK,03-Sep-07,127.0,128.17,125.17,127.47,3704520
HDFCBANK,03-Sep-07,121.83,121.83,117.04,117.64,3930710
HINDUNILVR,03-Sep-07,207.0,210.5,206.65,209.8,1561295
ICICIBANK,03-Sep-07,161.84,165.64,161.84,165.07,16110303
INFY,03-Sep-07,233.13,233.75,231.88,232.58,4769872
KOTAKBANK,03-Sep-07,179.88,182.25,176.75,181.04,3081384
LT,03-Sep-07,577.69,583.33,572.89,574.83,2678809
RELIANCE,03-Sep-07,485.62,490.1,480.45,484.89,8052642
SBIN,03-Sep-07,152.76,153.13,151.19,151.59,9559322
TCS,03-Sep-07,267.5,268.75,263.35,265.31,2496264
AXISBANK,04-Sep-07,128.0,134.03,128.0,131.77,5497675
HDFCBANK,04-Sep-07,118.0,119.5,116.55,117.64,2317330
HINDUNILVR,04-Sep-07,209.05,211.9,207.15,211.0,1047596
ICICIBANK,04-Sep-07,166.75,168.44,163.82,165.2,10265084
INFY,04-Sep-07,240.34,240.34,221.88,236.21,5593768
KOTAKBANK,04-Sep-07,194.25,194.25,180.02,182.52,2858496
LT,04-Sep-07,577.33,586.67,575.56,583.3,3604594
RELIANCE,04-Sep-07,486.39,489.57,475.8,488.59,8199541
SBIN,04-Sep-07,151.91,152.94,150.21,152.09,12249215
TCS,04-Sep-07,266.25,271.92,265.25,266.52,2182756
AXISBANK,05-Sep-07,132.0,135.0,131.76,133.52,1063630
HDFCBANK,05-Sep-07,116.56,118.43,115.8,117.25,2018480
HINDUNILVR,05-Sep-07,211.0,214.9,208.65,212.35,2106856
ICICIBANK,05-Sep-07,165.55,168.18,164.55,166.44,16918280
INFY,05-Sep-07,235.5,240.62,235.41,236.88,8701272
KOTAKBANK,05-Sep-07,176.29,184.25,176.29,179.43,1421096
LT,05-Sep-07,586.67,588.44,573.22,575.4,2788510
RELIANCE,05-Sep-07,492.09,493.82,483.17,486.54,10075282
SBIN,05-Sep-07,152.76,153.13,149.08,150.42,13408659
TCS,05-Sep-07,266.75,270.74,266.27,268.09,3516964
AXISBANK,06-Sep-07,130.46,133.94,130.46,131.95,2842975
HDFCBANK,06-Sep-07,116.0,118.76,115.9,118.46,1501660
HINDUNILVR,06-Sep-07,210.75,218.4,210.0,216.35,2254083
ICICIBANK,06-Sep-07,164.91,167.8,164.2,167.44,5454031
INFY,06-Sep-07,234.5,238.63,234.5,237.98,3881216
KOTAKBANK,06-Sep-07,162.91,183.75,162.91,183.13,1843656
LT,06-Sep-07,574.44,579.78,571.13,577.61,1804432
RELIANCE,06-Sep-07,481.44,492.33,481.19,491.06,6183196
SBIN,06-Sep-07,149.83,154.74,149.64,154.16,19187133
TCS,06-Sep-07,266.25,270.25,265.25,269.5,1871860
AXISBANK,07-Sep-07,132.18,132.95,130.0,130.24,1565145
HDFCBANK,07-Sep-07,116.23,120.6,114.06,119.65,2612710
HINDUNILVR,07-Sep-07,217.25,218.9,213.35,213.95,1000657
ICICIBANK,07-Sep-07,168.18,169.21,166.36,167.28,15637484
INFY,07-Sep-07,238.88,240.63,237.63,238.56,5357776
KOTAKBANK,07-Sep-07,184.5,184.98,178.9,179.48,1281668
LT,07-Sep-07,580.0,582.22,573.57,575.74,2363080
RELIANCE,07-Sep-07,491.09,492.83,484.16,486.12,7430040
SBIN,07-Sep-07,155.21,155.96,152.19,152.88,14101087
TCS,07-Sep-07,269.25,271.13,267.5,269.06,1691576
AXISBANK,10-Sep-07,129.69,131.32,128.0,129.92,1747675
HDFCBANK,10-Sep-07,117.1,120.6,117.0,119.61,2282520
HINDUNILVR,10-Sep-07,211.15,215.0,210.45,213.35,756512
ICICIBANK,10-Sep-07,165.45,166.55,164.24,165.62,6993596
INFY,10-Sep-07,236.56,238.09,233.21,233.94,5928440
KOTAKBANK,10-Sep-07,175.91,187.5,175.91,187.0,2902296
LT,10-Sep-07,568.89,577.56,566.93,572.71,1648368
RELIANCE,10-Sep-07,484.16,494.07,481.44,491.74,6294469
SBIN,10-Sep-07,150.4,155.19,149.55,154.74,9778755
TCS,10-Sep-07,269.06,269.06,261.0,261.81,2201060
AXISBANK,11-Sep-07,130.94,131.77,129.0,129.39,1098795
HDFCBANK,11-Sep-07,119.61,120.5,118.21,118.78,1811170
HINDUNILVR,11-Sep-07,214.5,218.45,212.85,217.1,930405
ICICIBANK,11-Sep-07,166.55,167.09,163.44,163.92,6845729
INFY,11-Sep-07,235.75,235.75,226.88,227.85,7806928
KOTAKBANK,11-Sep-07,187.75,190.24,184.02,184.64,3482172
LT,11-Sep-07,577.56,584.67,573.33,575.46,2569945
RELIANCE,11-Sep-07,492.83,497.41,491.59,492.85,8753765
SBIN,11-Sep-07,155.68,156.34,152.38,153.11,11426149
TCS,11-Sep-07,273.61,273.61,255.0,255.84,3386556
AXISBANK,12-Sep-07,129.62,131.58,129.03,129.32,1734345
HDFCBANK,12-Sep-07,119.2,120.19,118.0,118.21,1250510
HINDUNILVR,12-Sep-07,217.1,219.9,215.5,217.55,2445980
ICICIBANK,12-Sep-07,165.64,165.64,160.36,160.97,9566381
INFY,12-Sep-07,228.13,233.25,226.64,227.73,7977880
KOTAKBANK,12-Sep-07,186.19,189.09,186.0,187.14,2161496
LT,12-Sep-07,581.11,581.11,568.0,570.07,1966378
RELIANCE,12-Sep-07,494.31,500.51,493.32,498.56,9721957
SBIN,12-Sep-07,153.79,154.71,152.8,153.27,7173111
TCS,12-Sep-07,257.5,259.44,253.38,253.9,2344104
AXISBANK,13-Sep-07,130.2,133.2,129.98,131.9,2514175
HDFCBANK,13-Sep-07,118.2,121.7,118.2,121.35,5630740
HINDUNILVR,13-Sep-07,217.5,217.5,214.0,215.0,1313402
ICICIBANK,13-Sep-07,161.27,163.65,160.43,160.74,14842063
INFY,13-Sep-07,228.13,232.75,227.94,229.28,9630800
KOTAKBANK,13-Sep-07,188.5,194.25,187.0,193.51,4374052
LT,13-Sep-07,572.22,575.22,567.19,570.53,2231050
RELIANCE,13-Sep-07,501.5,503.97,498.69,502.12,7975538
SBIN,13-Sep-07,154.24,158.7,153.79,158.0,17429874
TCS,13-Sep-07,256.23,258.75,252.6,257.7,2153072
AXISBANK,14-Sep-07,132.99,134.4,128.44,130.0,3491140
HDFCBANK,14-Sep-07,121.2,124.99,121.0,123.27,4471910
HINDUNILVR,14-Sep-07,216.4,217.05,211.1,212.05,835576
ICICIBANK,14-Sep-07,161.64,168.0,161.64,164.78,23959496
INFY,14-Sep-07,230.0,232.25,228.79,229.64,9550288
KOTAKBANK,14-Sep-07,195.75,198.0,192.0,193.04,4088088
LT,14-Sep-07,574.67,584.42,573.37,575.83,3048111
RELIANCE,14-Sep-07,503.97,512.86,502.3,503.91,10332389
SBIN,14-Sep-07,158.61,161.11,154.86,155.71,18403981
TCS,14-Sep-07,262.5,262.5,254.52,255.61,1900228
AXISBANK,17-Sep-07,129.2,132.22,128.4,131.73,2297220
HDFCBANK,17-Sep-07,121.82,124.89,121.5,122.61,2402430
HINDUNILVR,17-Sep-07,214.0,216.9,212.0,215.9,5135397
ICICIBANK,17-Sep-07,165.09,166.0,161.98,162.75,6581168
INFY,17-Sep-07,231.75,231.86,224.06,225.6,11030912
KOTAKBANK,17-Sep-07,190.0,200.98,190.0,199.44,2950744
LT,17-Sep-07,578.0,579.78,572.24,575.71,1505092
RELIANCE,17-Sep-07,502.73,510.02,500.51,502.31,5833819
SBIN,17-Sep-07,154.27,158.04,154.27,155.27,8372077
TCS,17-Sep-07,256.25,257.95,248.93,249.41,5086176
AXISBANK,18-Sep-07,131.2,132.78,130.6,132.06,3060575
HDFCBANK,18-Sep-07,122.0,123.49,120.36,123.11,2317390
HINDUNILVR,18-Sep-07,214.8,215.75,212.4,214.55,1623725
ICICIBANK,18-Sep-07,162.73,169.27,162.18,168.1,14328611
INFY,18-Sep-07,225.0,226.84,223.31,225.57,13408016
KOTAKBANK,18-Sep-07,193.35,205.13,178.6,204.06,4981280
LT,18-Sep-07,575.56,584.42,574.22,581.9,2931493
RELIANCE,18-Sep-07,500.26,511.15,499.24,509.68,10152197
SBIN,18-Sep-07,157.57,160.67,154.45,159.92,17483906
TCS,18-Sep-07,249.25,251.93,248.25,250.61,4942808
AXISBANK,19-Sep-07,136.0,139.4,134.46,136.84,5061645
HDFCBANK,19-Sep-07,127.1,134.0,125.6,132.43,9971620
HINDUNILVR,19-Sep-07,216.0,218.9,215.6,217.0,2954126
ICICIBANK,19-Sep-07,170.91,178.0,170.91,177.01,35467580
INFY,19-Sep-07,230.0,233.5,230.0,231.45,17208904
KOTAKBANK,19-Sep-07,207.5,212.38,207.23,209.4,2992816
LT,19-Sep-07,588.89,597.78,584.92,593.32,4781160
RELIANCE,19-Sep-07,528.74,540.58,515.1,538.37,13357668
SBIN,19-Sep-07,163.7,167.47,163.7,166.97,19620191
TCS,19-Sep-07,256.25,258.42,254.3,255.76,4642668
AXISBANK,20-Sep-07,140.0,142.38,136.31,141.23,6073475
HDFCBANK,20-Sep-07,132.7,133.9,131.01,132.62,5024250
HINDUNILVR,20-Sep-07,213.25,219.8,213.0,214.2,1760987
ICICIBANK,20-Sep-07,176.36,178.18,174.26,175.84,18685216
INFY,20-Sep-07,230.0,230.63,224.39,225.05,10340064
KOTAKBANK,20-Sep-07,211.88,216.48,208.34,213.39,3474752
LT,20-Sep-07,596.67,622.0,594.53,610.96,6294343
RELIANCE,20-Sep-07,538.89,545.27,536.66,542.43,11010710
SBIN,20-Sep-07,169.72,169.72,165.32,166.02,10514542
TCS,20-Sep-07,255.0,255.52,249.3,250.51,2355156
AXISBANK,21-Sep-07,141.54,142.78,140.64,141.94,2434285
HDFCBANK,21-Sep-07,132.16,133.24,130.7,131.85,3698550
HINDUNILVR,21-Sep-07,213.0,221.8,213.0,219.4,2960931
ICICIBANK,21-Sep-07,175.84,177.96,174.4,175.65,10728487
INFY,21-Sep-07,223.75,231.25,219.13,228.24,15328600
KOTAKBANK,21-Sep-07,208.88,219.18,208.88,217.26,2636152
LT,21-Sep-07,610.96,623.33,608.57,619.21,2783119
RELIANCE,21-Sep-07,540.87,569.35,540.27,564.76,11665026
SBIN,21-Sep-07,165.97,173.6,165.4,170.52,10646092
TCS,21-Sep-07,247.75,256.25,244.5,254.45,7928660
AXISBANK,24-Sep-07,142.4,148.58,142.04,146.42,2627505
HDFCBANK,24-Sep-07,134.2,135.6,133.53,134.65,4425100
HINDUNILVR,24-Sep-07,221.55,224.9,219.4,223.5,3566699
ICICIBANK,24-Sep-07,177.27,181.64,177.27,181.15,20870426
INFY,24-Sep-07,228.5,228.74,220.0,220.38,17386784
KOTAKBANK,24-Sep-07,217.26,224.0,217.05,222.6,2054244
LT,24-Sep-07,620.0,648.93,612.31,644.57,5292526
RELIANCE,24-Sep-07,569.6,589.17,566.13,583.35,15773428
SBIN,24-Sep-07,173.61,175.08,170.81,173.06,11716667
TCS,24-Sep-07,255.0,257.5,250.05,251.81,3595068
AXISBANK,25-Sep-07,146.0,148.14,145.62,147.91,3224485
HDFCBANK,25-Sep-07,134.65,140.9,134.5,139.63,4816660
HINDUNILVR,25-Sep-07,223.0,228.0,218.6,227.35,3176671
ICICIBANK,25-Sep-07,181.77,183.28,176.12,180.55,15888323
INFY,25-Sep-07,223.13,224.38,218.56,221.42,17385008
KOTAKBANK,25-Sep-07,222.5,224.88,215.09,222.2,2305932
LT,25-Sep-07,645.56,655.56,624.67,637.27,4757427
RELIANCE,25-Sep-07,573.38,600.8,573.38,594.27,13549796
SBIN,25-Sep-07,173.89,174.33,167.95,170.52,8990739
TCS,25-Sep-07,252.5,253.5,249.05,250.43,5400496
AXISBANK,26-Sep-07,148.0,152.0,148.0,151.15,4672555
HDFCBANK,26-Sep-07,139.0,139.0,136.01,137.57,7783580
HINDUNILVR,26-Sep-07,228.5,229.9,224.05,225.45,2884558
ICICIBANK,26-Sep-07,181.33,187.8,180.75,185.45,21556595
INFY,26-Sep-07,222.5,229.34,221.25,228.14,13126264
KOTAKBANK,26-Sep-07,220.25,233.2,217.54,228.02,3842304
LT,26-Sep-07,637.27,643.11,628.98,632.0,2047873
RELIANCE,26-Sep-07,594.12,598.08,573.32,575.04,15892393
SBIN,26-Sep-07,170.78,177.29,168.71,174.48,17348911
TCS,26-Sep-07,252.5,262.2,251.25,260.19,8340892
AXISBANK,27-Sep-07,154.0,155.0,151.96,153.74,4757895
HDFCBANK,27-Sep-07,137.21,145.9,137.1,143.3,10823480
HINDUNILVR,27-Sep-07,226.0,228.0,216.2,218.9,9602414
ICICIBANK,27-Sep-07,189.09,189.09,183.69,186.95,22832656
INFY,27-Sep-07,234.01,241.59,229.38,239.48,30952096
KOTAKBANK,27-Sep-07,232.5,234.5,220.76,223.26,4078736
LT,27-Sep-07,638.44,643.33,625.33,629.81,6868759
RELIANCE,27-Sep-07,577.2,586.94,570.95,574.13,14112209
SBIN,27-Sep-07,175.68,179.17,174.74,177.45,19001064
TCS,27-Sep-07,262.5,266.88,261.75,265.63,8602140
AXISBANK,28-Sep-07,154.2,155.0,150.98,152.92,4877325
HDFCBANK,28-Sep-07,143.85,144.39,140.3,143.56,5957270
HINDUNILVR,28-Sep-07,222.2,222.2,215.6,220.6,3510232
ICICIBANK,28-Sep-07,189.09,194.53,186.73,193.16,23746734
INFY,28-Sep-07,240.63,243.75,233.38,236.59,16135888
KOTAKBANK,28-Sep-07,223.75,231.75,223.75,230.55,2233844
LT,28-Sep-07,612.33,637.78,612.33,623.99,3032545
RELIANCE,28-Sep-07,581.98,581.98,560.93,569.12,13948233
SBIN,28-Sep-07,178.8,185.11,178.43,183.6,28323168
TCS,28-Sep-07,256.25,270.0,256.25,265.04,6249532
AXISBANK,01-Oct-07,153.38,154.5,148.82,150.3,3206875
HDFCBANK,01-Oct-07,144.0,144.97,139.12,141.16,7230980
HINDUNILVR,01-Oct-07,219.65,226.1,214.0,224.1,3471105
ICICIBANK,01-Oct-07,194.18,194.18,188.18,192.33,17555378
INFY,01-Oct-07,236.88,239.38,231.59,238.17,12118896
KOTAKBANK,01-Oct-07,231.25,237.5,228.79,236.31,3058524
LT,01-Oct-07,623.99,634.42,618.07,626.39,2947369
RELIANCE,01-Oct-07,572.08,576.77,560.25,567.67,17961801
SBIN,01-Oct-07,184.18,185.4,177.63,178.76,20342560
TCS,01-Oct-07,265.25,265.25,255.75,260.41,2176580
AXISBANK,03-Oct-07,150.6,153.16,146.0,151.52,4999140
HDFCBANK,03-Oct-07,141.36,143.88,140.61,142.48,4922650
HINDUNILVR,03-Oct-07,225.0,225.9,219.35,220.5,4682668
ICICIBANK,03-Oct-07,193.09,204.62,190.91,197.55,27840818
INFY,03-Oct-07,240.0,251.86,238.75,250.19,26572224
KOTAKBANK,03-Oct-07,237.0,249.5,228.79,247.09,5028068
LT,03-Oct-07,633.33,648.67,626.67,645.24,5272249
RELIANCE,03-Oct-07,570.1,604.27,553.5,593.35,27071456
SBIN,03-Oct-07,182.38,183.89,168.51,179.98,16419202
TCS,03-Oct-07,262.5,273.75,262.48,269.8,5122872
AXISBANK,04-Oct-07,151.52,152.6,145.01,150.96,3691635
HDFCBANK,04-Oct-07,140.8,141.87,138.8,140.97,4029050
HINDUNILVR,04-Oct-07,220.0,225.0,218.25,223.9,1927530
ICICIBANK,04-Oct-07,196.35,196.36,185.09,194.18,18966882
INFY,04-Oct-07,251.25,251.25,245.25,249.86,14354928
KOTAKBANK,04-Oct-07,248.0,253.18,245.0,250.32,2663304
LT,04-Oct-07,644.42,654.44,638.9,644.89,3385462
RELIANCE,04-Oct-07,589.41,604.23,584.96,600.78,14102147
SBIN,04-Oct-07,177.85,183.23,174.55,179.74,21845548
TCS,04-Oct-07,271.25,271.25,263.5,269.83,4359804
AXISBANK,05-Oct-07,151.8,152.0,146.2,147.78,1562315
HDFCBANK,05-Oct-07,141.0,142.0,139.22,140.32,2967090
HINDUNILVR,05-Oct-07,222.0,224.7,221.05,221.9,2453751
ICICIBANK,05-Oct-07,194.36,196.18,186.36,188.44,14728851
INFY,05-Oct-07,250.0,250.0,246.95,247.86,8433464
